"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Skyknight Squire","W","R","3723","1.06","2082","1.05","11269","87.9%","56.2%","2043","62.7%","2717","54.6%","4760","58.1%","6432","54.7%","3.3pp"
"Squad Rallier","W","C","126822","5.15","14851","7.18","59704","63.8%","57.0%","10020","55.1%","14906","57.6%","24926","56.6%","34826","57.3%","-0.7pp"
"Sun-Blessed Healer","W","U","18284","2.00","5826","2.29","31966","88.5%","56.7%","5691","58.4%","7811","58.2%","13502","58.3%","18464","55.6%","2.7pp"
"Twinblade Blessing","W","U","55239","6.38","6096","9.06","7812","20.8%","50.2%","1284","47.9%","1837","47.8%","3121","47.9%","4693","51.7%","-3.8pp"
"Valkyrie's Call","W","M","2132","1.16","1286","1.16","6807","84.5%","56.3%","1174","55.5%","1747","60.7%","2921","58.6%","3878","54.4%","4.2pp"
"Vanguard Seraph","W","C","99379","3.78","10059","5.32","48341","78.0%","55.5%","8072","54.6%","11964","55.4%","20036","55.1%","28369","55.8%","-0.7pp"
"Arcane Epiphany","U","U","43148","4.32","9821","5.26","49434","79.9%","57.3%","8052","56.1%","13992","59.9%","22044","58.5%","27342","56.3%","2.1pp"
"Archmage of Runes","U","R","4655","1.29","2029","1.30","11272","89.8%","56.7%","1915","56.1%","3334","59.3%","5249","58.1%","6036","55.4%","2.7pp"
"Bigfin Bouncer","U","C","96717","3.81","24517","4.77","144753","92.0%","58.7%","24520","58.7%","41913","62.0%","66433","60.8%","78161","56.9%","3.8pp"
"Cephalid Inkmage","U","U","49256","5.21","6729","7.05","22664","53.7%","55.3%","3862","52.6%","6433","56.8%","10295","55.2%","12321","55.3%","-0.1pp"
"Clinquant Skymage","U","U","49344","5.17","9397","6.37","37323","65.5%","52.6%","6292","50.2%","10486","54.4%","16778","52.8%","20520","52.5%","0.4pp"
"Curator of Destinies","U","R","4009","1.15","2573","1.14","15484","92.6%","59.1%","2558","61.2%","4482","65.3%","7040","63.8%","8429","55.1%","8.7pp"
"Drake Hatcher","U","R","4757","1.31","2110","1.31","12046","91.4%","56.8%","2218","62.5%","3399","57.4%","5617","59.4%","6419","54.4%","5.0pp"
"Elementalist Adept","U","C","143729","7.97","32504","9.93","79520","38.4%","55.3%","14240","55.6%","21167","55.1%","35407","55.3%","43937","55.3%","-0.0pp"
"Erudite Wizard","U","C","143274","8.01","30679","10.03","77940","39.9%","54.4%","13743","54.6%","21683","55.0%","35426","54.8%","42361","54.0%","0.8pp"
"Faebloom Trick","U","U","29457","2.94","11027","3.33","67108","94.6%","59.2%","11753","59.5%","19212","63.1%","30965","61.7%","36070","57.0%","4.7pp"
"Grappling Kraken","U","U","48920","5.19","6677","7.00","20289","49.3%","53.9%","3317","50.7%","5852","57.3%","9169","54.9%","11141","53.0%","1.9pp"
"High Fae Trickster","U","R","4769","1.32","2040","1.31","11573","91.7%","55.8%","1973","56.5%","3245","58.3%","5218","57.6%","6354","54.2%","3.4pp"
"Homunculus Horde","U","R","6286","1.64","1924","1.65","9918","85.0%","53.9%","1711","53.0%","2938","56.3%","4649","55.1%","5261","52.7%","2.4pp"
"Icewind Elemental","U","C","141240","7.14","29581","9.12","96700","51.3%","56.4%","16337","54.1%","27436","58.0%","43773","56.5%","52958","56.2%","0.3pp"
"Inspiration from Beyond","U","U","56067","7.11","8255","9.70","10272","19.6%","53.9%","1730","50.5%","2818","56.2%","4548","54.0%","5719","53.8%","0.2pp"
"Kaito, Cunning Infiltrator","U","M","2002","1.15","1442","1.15","8120","89.3%","57.4%","1450","58.9%","2285","61.6%","3735","60.6%","4374","54.7%","5.9pp"
"Kiora, the Rising Tide","U","R","4365","1.23","2802","1.23","16763","93.9%","58.8%","2966","63.7%","4819","62.9%","7785","63.2%","8976","54.9%","8.3pp"
"Lunar Insight","U","R","8977","2.17","691","2.39","2158","50.9%","51.3%","341","","624","55.6%","965","53.4%","1190","49.5%","3.9pp"
"Mischievous Mystic","U","U","24633","2.54","11436","2.75","71066","95.4%","59.8%","12912","65.8%","20629","62.5%","33541","63.8%","37429","56.2%","7.5pp"
"Refute","U","C","142279","6.56","42682","7.50","210756","76.9%","58.6%","35745","58.5%","59903","61.1%","95648","60.1%","114878","57.2%","2.9pp"
"Rune-Sealed Wall","U","U","55658","7.04","11459","8.82","28238","39.5%","53.1%","5025","51.6%","7694","53.4%","12719","52.7%","15444","53.5%","-0.8pp"
"Skyship Buccaneer","U","U","34685","3.41","8177","4.15","46665","89.2%","58.2%","7876","56.3%","13548","61.4%","21424","59.5%","25237","57.1%","2.4pp"
"Sphinx of Forgotten Lore","U","M","1963","1.15","1264","1.13","7073","89.8%","58.1%","1236","57.2%","2130","63.4%","3366","61.1%","3718","55.4%","5.7pp"
