"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Adagia, Windswept Bastion","","M","15052","2.87","4223","3.35","20385","79.0%","55.2%","3691","56.9%","5192","54.4%","8883","55.5%","11420","55.0%","0.5pp"
"Breeding Pool","","R","48680","3.74","10706","5.07","44800","68.8%","55.3%","8351","57.3%","11037","56.0%","19388","56.6%","25228","54.2%","2.4pp"
"Command Bridge","","C","379377","5.54","60069","8.08","254856","70.9%","53.2%","47829","52.6%","64008","53.2%","111837","52.9%","142370","53.5%","-0.5pp"
"Evendo, Waking Haven","","M","23313","4.18","2975","6.43","7024","39.3%","52.2%","1257","52.9%","1692","50.8%","2949","51.7%","4052","52.5%","-0.8pp"
"Godless Shrine","","R","50325","3.88","8660","5.63","29060","55.6%","54.3%","5269","55.4%","7326","53.3%","12595","54.2%","16399","54.3%","-0.2pp"
"Kavaron, Memorial World","","M","17060","3.12","5042","3.57","24937","80.2%","55.9%","4530","59.9%","6106","55.9%","10636","57.6%","14220","54.7%","2.9pp"
"Sacred Foundry","","R","54787","4.23","8285","6.32","21974","44.1%","53.1%","3926","53.1%","5348","52.9%","9274","53.0%","12667","53.2%","-0.2pp"
"Secluded Starforge","","R","24783","2.42","12110","2.51","72185","96.5%","56.3%","12203","56.0%","19163","60.3%","31366","58.6%","40378","54.4%","4.2pp"
"Stomping Ground","","R","49771","3.85","9393","5.39","36508","63.9%","54.7%","6907","57.1%","8588","54.5%","15495","55.6%","20956","54.1%","1.5pp"
"Susur Secundi, Void Altar","","M","18467","3.35","3683","4.32","16131","73.3%","53.4%","2962","53.5%","4183","52.3%","7145","52.8%","8933","53.9%","-1.1pp"
"Uthros, Titanic Godcore","","M","25209","4.43","3256","6.90","5605","29.2%","50.3%","1040","49.6%","1508","52.5%","2548","51.3%","3026","49.5%","1.9pp"
"Watery Grave","","R","50169","3.86","10356","5.38","39131","62.7%","53.7%","7224","55.4%","10799","54.6%","18023","54.9%","20893","52.6%","2.3pp"
"Warping Wail","","U","7404","6.14","765","9.82","116","2.5%","","15","","29","","44","","73","",""
"Deafening Silence","W","U","7328","6.25","753","10.07","74","1.6%","","15","","22","","37","","37","",""
"Robe of Stars","W","R","5704","4.74","603","7.44","738","20.5%","49.6%","120","","170","","290","","445","",""
"Nexus of Fate","U","M","3309","2.96","926","3.31","3952","72.7%","52.3%","686","46.8%","1660","56.6%","2346","53.7%","2089","52.4%","1.3pp"
"Paradox Haze","U","U","7531","6.61","888","10.40","30","0.6%","","4","","8","","12","","18","",""
"Darkness","B","C","7261","6.26","703","9.97","334","7.9%","","45","","82","","127","","208","",""
"Magus of the Moon","R","R","6751","5.55","743","9.03","86","1.9%","","9","","20","","29","","57","",""
"Burgeoning","G","R","5532","4.91","576","7.88","428","12.1%","","73","","107","","180","","248","",""
"Green Sun's Zenith","G","R","3479","3.03","938","3.44","4100","72.8%","55.8%","704","55.3%","1314","59.4%","2018","58.0%","2389","54.9%","3.1pp"
"Sliver Overlord","WUBRG","M","6055","4.97","726","7.87","57","1.3%","","11","","19","","30","","24","",""
"Ancient Tomb","","M","3511","2.91","894","3.34","4471","81.8%","54.9%","772","58.4%","1063","53.6%","1835","55.6%","2613","54.3%","1.3pp"
"Blast Zone","","R","13324","4.67","1929","6.85","6837","57.0%","55.2%","1124","55.8%","1829","56.4%","2953","56.1%","3862","54.6%","1.6pp"
"Blinkmoth Nexus","","R","10843","3.77","2707","4.78","13852","84.1%","55.9%","2281","53.5%","3637","59.3%","5918","57.1%","7875","55.0%","2.1pp"
"Bonders' Enclave","","R","11094","3.87","2369","5.01","12368","84.9%","55.5%","2035","55.7%","3208","57.7%","5243","56.9%","7073","54.4%","2.5pp"
"Cascading Cataracts","","R","15229","5.71","1813","8.86","1956","17.8%","48.4%","294","","500","49.2%","794","48.7%","1155","48.2%","0.5pp"
"Cathedral of War","","R","12288","4.29","2421","5.65","11420","77.9%","55.3%","1967","56.2%","2880","55.2%","4847","55.6%","6540","55.0%","0.6pp"
"Celestial Colonnade","","R","8374","3.20","3013","3.57","14078","75.6%","57.0%","2680","62.3%","3819","60.7%","6499","61.4%","7461","53.1%","8.3pp"
"Contested War Zone","","R","17204","6.61","2080","10.17","301","2.4%","","45","","85","","130","","169","",""
"Creeping Tar Pit","","R","9291","3.37","3085","3.90","14413","75.8%","56.0%","2675","62.2%","4093","59.0%","6768","60.3%","7531","52.0%","8.3pp"
"Crystal Quarry","","R","16236","6.13","2000","9.41","1433","11.8%","52.1%","276","","325","","601","52.4%","827","51.9%","0.5pp"
"Deserted Temple","","M","8295","6.36","1016","9.75","383","6.3%","","62","","95","","157","","223","",""
"Dust Bowl","","M","8080","6.02","924","9.43","503","8.9%","52.3%","78","","126","","204","","298","",""
"Echoing Deeps","","R","17112","6.38","2065","9.76","980","7.8%","48.9%","173","","271","","444","","533","49.9%",""
"Eldrazi Temple","","R","16179","6.18","1931","9.53","336","2.8%","","53","","70","","123","","211","",""
"Endless Sands","","R","15868","5.72","1966","8.69","3732","31.8%","51.4%","610","49.0%","979","53.5%","1589","51.8%","2129","51.2%","0.6pp"
"Gemstone Caverns","","M","5922","4.38","704","6.86","1575","36.7%","54.7%","287","","397","","684","55.3%","891","54.2%","1.1pp"
"Grove of the Burnwillows","","M","6278","4.48","1040","6.39","3644","57.6%","54.3%","697","55.1%","878","54.1%","1575","54.5%","2057","54.1%","0.4pp"
